CLASS_OF,VARIETY,FAMILY,RM
2014,V104000,FAM10353,1.5
2014,V151283,FAM10354,1.8
2014,V151161,FAM10485,1.9
2014,V151273,FAM10404,1.9
2014,V151284,FAM07855,1.9
2014,V140364,FAM08217,2.0
2014,V140393,FAM07868,2.1
2014,V140432,FAM13872,2.1
2014,V151236,FAM13840,2.2
2014,V114556,FAM13833,2.3
2014,V114553,FAM06574,2.5
2014,V114649,FAM11251,2.5
2014,V114655,FAM11247,2.5
2014,V114545,FAM01215,2.6
2014,V114569,FAM06563,2.6
2014,V114530,FAM06560,2.7
2014,V140408,FAM01209,2.7
2014,V114538,FAM13851,2.8
2014,V114564,FAM01215,2.8
2014,V114585,FAM06560,2.8
2014,V152312,FAM13852,2.8
2014,V114541,FAM06538,2.9
2014,V114565,FAM01215,3.0
2014,V114685,FAM06758,3.0
2014,V114589,FAM11189,3.1
2014,V152320,FAM11190,3.1
2014,V152322,FAM13828,3.1
2014,V114676,FAM11223,3.2
2014,V114688,FAM06758,3.2
2014,V152306,FAM13804,3.2
2014,V152300,FAM01223,3.4
2014,V152325,FAM01215,3.4
2014,V152324,FAM01215,3.5
2014,V152415,FAM06784,3.5
2014,V152334,FAM01223,3.6
2014,V152253,FAM01407,3.7
2014,V113396,FAM05408,3.9
2014,V152440,FAM06776,3.9
